 background facade window cornice deco balcony sill door shop pillar molding blind
1.jpg 1 1 1 -1 1 1 1 1 -1 1 -1 1
10.jpg -1 1 1 1 1 1 1 1 1 -1 1 -1
100.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
101.jpg 1 1 1 1 1 1 1 -1 -1 -1 1 -1
102.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
103.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
104.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
105.jpg 1 1 1 1 1 1 -1 1 1 -1 1 1
106.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
107.jpg 1 1 1 1 1 1 1 1 1 1 1 1
108.jpg 1 1 1 1 1 -1 1 1 -1 1 -1 1
109.jpg 1 1 1 1 1 1 1 1 1 1 1 1
11.jpg 1 1 1 1 1 1 1 1 1 1 1 1
110.jpg 1 1 1 1 1 1 1 1 1 1 1 1
111.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
112.jpg 1 1 1 1 1 1 1 -1 1 -1 1 -1
113.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
114.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
115.jpg 1 1 1 -1 1 1 -1 -1 1 -1 1 1
116.jpg 1 1 1 -1 1 1 1 1 1 -1 1 -1
117.jpg 1 1 1 -1 1 1 1 1 1 -1 1 -1
118.jpg 1 1 1 -1 1 -1 1 -1 1 1 1 -1
119.jpg 1 1 1 1 1 1 -1 1 1 -1 1 -1
12.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
120.jpg 1 1 1 1 1 1 1 -1 1 1 1 1
121.jpg 1 1 1 1 1 1 -1 1 1 1 1 -1
122.jpg 1 1 1 1 1 1 1 -1 1 -1 1 1
123.jpg 1 1 1 -1 1 1 1 -1 -1 1 1 1
124.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
125.jpg 1 1 1 1 1 1 1 -1 1 1 1 -1
126.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
127.jpg -1 1 1 -1 1 1 1 1 1 1 1 1
128.jpg 1 1 1 1 1 1 1 1 1 1 1 1
129.jpg -1 1 1 1 1 1 1 1 1 1 1 -1
13.jpg 1 1 1 -1 1 1 -1 1 1 -1 1 1
130.jpg 1 1 1 1 1 1 1 1 1 -1 1 -1
131.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
132.jpg 1 1 1 1 1 -1 1 -1 1 1 1 1
133.jpg 1 1 1 1 1 1 1 -1 -1 1 1 1
134.jpg 1 1 1 1 1 1 1 1 -1 1 1 1
